Country,year,sex,age,suicides_no,population,
Albania,1985,female,15-24 years,,277900,0
Albania,1985,female,25-34 years,,246800,0
Albania,1985,female,35-54 years,,267500,0
Albania,1985,female,5-14 years,,298300,0
Albania,1985,female,55-74 years,,138700,0
Albania,1985,female,75+ years,,34200,0
Albania,1985,male,15-24 years,,301400,0
Albania,1985,male,25-34 years,,264200,0
Albania,1985,male,35-54 years,,296700,0
Albania,1985,male,5-14 years,,325800,0
Albania,1985,male,55-74 years,,132500,0
Albania,1985,male,75+ years,,21100,0
Albania,1986,female,15-24 years,,283900,0
Albania,1986,female,25-34 years,,252100,0
Albania,1986,female,35-54 years,,273200,0
Albania,1986,female,5-14 years,,304700,0
Albania,1986,female,55-74 years,,141700,0
Albania,1986,female,75+ years,,34900,0
Albania,1986,male,15-24 years,,306700,0
Albania,1986,male,25-34 years,,269000,0
Albania,1986,male,35-54 years,,302000,0
Albania,1986,male,5-14 years,,331600,0
Albania,1986,male,55-74 years,,134800,0
Albania,1986,male,75+ years,,21400,0
Albania,1987,female,15-24 years,14,289700,4.83E-05
Albania,1987,female,25-34 years,4,257200,1.56E-05
Albania,1987,female,35-54 years,6,278800,2.15E-05
Albania,1987,female,5-14 years,0,311000,0
Albania,1987,female,55-74 years,0,144600,0
Albania,1987,female,75+ years,1,35600,2.81E-05
Albania,1987,male,15-24 years,21,312900,6.71E-05
Albania,1987,male,25-34 years,9,274300,3.28E-05
Albania,1987,male,35-54 years,16,308000,5.19E-05
Albania,1987,male,5-14 years,0,338200,0
Albania,1987,male,55-74 years,1,137500,7.27E-06
Albania,1987,male,75+ years,1,21800,4.59E-05
Albania,1988,female,15-24 years,8,295600,2.71E-05
Albania,1988,female,25-34 years,5,262400,1.91E-05
Albania,1988,female,35-54 years,4,284500,1.41E-05
Albania,1988,female,5-14 years,0,317200,0
Albania,1988,female,55-74 years,3,147500,2.03E-05
Albania,1988,female,75+ years,2,36400,5.49E-05
Albania,1988,male,15-24 years,17,319200,5.33E-05
Albania,1988,male,25-34 years,5,279900,1.79E-05
Albania,1988,male,35-54 years,14,314100,4.46E-05
Albania,1988,male,5-14 years,0,345000,0
Albania,1988,male,55-74 years,4,140200,2.85E-05
Albania,1988,male,75+ years,1,22300,4.48E-05
Albania,1989,female,15-24 years,5,299900,1.67E-05
Albania,1989,female,25-34 years,2,266300,7.51E-06
Albania,1989,female,35-54 years,7,288600,2.43E-05
Albania,1989,female,5-14 years,0,321900,0
Albania,1989,female,55-74 years,1,149600,6.68E-06
Albania,1989,female,75+ years,0,37000,0
Albania,1989,male,15-24 years,12,323500,3.71E-05
Albania,1989,male,25-34 years,18,283600,6.35E-05
Albania,1989,male,35-54 years,15,318400,4.71E-05
Albania,1989,male,5-14 years,0,349700,0
Albania,1989,male,55-74 years,6,142100,4.22E-05
Albania,1989,male,75+ years,2,22500,8.89E-05
Albania,1990,female,15-24 years,,305900,0
Albania,1990,female,25-34 years,,278000,0
Albania,1990,female,35-54 years,,308300,0
Albania,1990,female,5-14 years,,329600,0
